sessionid,day,time,duration,room,track,type,kids category,title,description,participants
221,Sun,4:00 PM,1hr 15min,Douglas,Science,Panel,Welcome,The Year in Bad Science - 2019,"Scientists are people, and make mistakes. Many people are not scientists, but use the
language of science to mask some outrageous claims. Here are the howlers from the last
year."," Charity Southworth, David G. Shaw, Mark L Amidon (m), Roy Kilgard, Stephen R Wilk"
222,Sun,11:30 AM,1hr 15min,Otis,Science,Panel,Welcome,Just the Facts: Telomeres and Aging,"Why do we age? One exciting theory is that telomeres, the extra ""buffer"" genetic material
on the ends of each chromosome, deteriorate with each successive cell division. The loss
of telomeres may lead to impaired functioning throughout our bodies. Since the 1970s,
some researchers have speculated that telomere therapy may be a path to human
immortality. What's really going on?"," Dr. Jim Prego, Athena Andreadis PhD, Richard Moore (m)"
227,Sun,4:00 PM,1hr 15min,Marina 2,Science,Panel,Welcome,Just the Facts: CRISPR and Gene-Hacking,"CRISPR is a naturally-occurring genome editor in bacteria, but it's also short-hand for CRISPR-cas9 human editing of genes.  What has actually been done with this technology?  With the genie out of the bottle, what can be done about unregulated and/or unethical use of this technology?"," Athena Andreadis PhD, Richard Moore (m), Dr. Jim Prego, John Sundman"
229,Fri,7:00 PM,1hr 15min,Marina 4,Science,Panel,Welcome,The Collective You - Your Biome,"All about the multitudes that live with and on humans, why we need them, and what that means for crewed space missions, future housing, and modern and future hospitals."," Dr. Jim Prego, David G. Shaw (m), Bhadrika Love"
230,Sun,5:30 PM,1hr 15min,Marina 2,Science,Panel,Welcome,"The Science of ""The Expanse""","One of the few shows on TV that gets the science right. Grav boots, acceleration couches, constant acceleration gravity. Shoot the juice from blacking out at twelve Gs!"," KarlS Web (m), Charity Southworth, Roy Kilgard, Cate Schneiderman"
231,Sun,10:00 AM,1hr 15min,Otis,Science,Lecture,Welcome,Bio for Computer Scientists: Programming Life,Living cells operate both similarly and wildly differently to many principles of modern computing.  Learn how the muck that sticks to your shoe can perform feats of data management that would make The Cloud green with envy!, John Sundman (m)
232,Sun,10:00 AM,1hr 15min,Douglas,Writing,Panel,Welcome,The Ethics of Writing Speculative Fiction," In an online article for Bustle, writer JR Thorpe describes speculative fiction as helping thinking people be more ethical. How can writers grapple with challenging dilemma and real-world problems through fiction? This panel will examine the use and misuse of speculative fiction to confront thorny ethical problems."," Sam Schreiber (m), Sarah Smith, Liz Salazar, Gillian Daniels, Andrea Hairston"
233,Sun,5:30 PM,1hr 15min,Douglas,Writing,Panel,Welcome,Shop Talk: Being a Writer in 2020,"What is it really like to be a writer in 2020? A panel of intrepid writers will discuss the ups and downs of earning a living (or part of a living) writing. Topics to discuss will be: finding time to write, finding markets and agents, and changes in the industry since they first got started."," Keith Yatsuhashi, Terri Bruce, LJ Cohen, Rachel Kenley (m), Genevieve Iseult Eldredge, Jeffrey A Carver"
234,Sun,8:30 PM,1hr 15min,Independence,Writing,Panel,Welcome,Time to Bring Back Some Tropes?," Like any other art form, techniques that were once popular fall out of favor, tropes that were all but a requirement for a story are discarded, and some narrative forms become rare. What styles in older speculative fiction are due for reconsideration? Which ones deserve their obscurity? Panelists will describe alternate ways to write that deserve consideration in contemporary fiction. 
"," Genevieve Iseult Eldredge (m), Liz Salazar, W. B.J. Williams, Keith Yatsuhashi"
237,Sat,5:30 PM,1hr 15min,Marina 4,Writing,Panel,Welcome,What Sort of Writer are You?,"In last year’s Writers’ Round Table Andrea Hairston mentioned her approach in writing as being a choreographer for characters and plot. Are there different approaches to writing a story rather than simply writing one word after another? Can other elements of a writer’s life (job, hobby, family, etc.) help organize a writer’s ideas? A panel of writers discuss their own strategies for performing the work of a writer.
","  BH Pierce, Cadwell Turnbull, Sara Codair, E. C. Ambrose (m), Rachel Kenley, Kevin McLaughlin"
238,Sun,7:00 PM,1hr 15min,Otis,Writing,Panel,Welcome,Bringing Horror into Other Genres,"Increasingly, stories and writing borrow elements and tropes from different genres, including horror. What elements of horror can be brought into other genres? Other than simply ‘scaring the reader,’ what is the purpose of such cross-pollination? Can the tropes and devices of horror fiction be used for surprising effects?
"," Sam Schreiber, Gillian Daniels, Liz Salazar, H. M. White (m)"
239,Mon,2:30 PM,1hr 15min,Marina 1,Writing,Panel,Welcome,Using New England in Speculative Literature?,"Boston and New England have served as the setting for a great many speculative stories, from Hawthorne to Lovecraft to Atwood. For writers interested in joining that tradition, what makes the New England setting special even in the hyperconnected 21st century? A larger topic for discussion: is it possible to talk about setting when so much of a person’s day is spent in consideration of things happening in the internet and media?"," Monique ""Moniquill"" Poirier, Sonya Taaffe, James Hailer (m), Inanna Arthen"
240,Sun,5:30 PM,1hr 15min,Marina 1,Writing,Panel,Welcome,Writers React to Bad Writing,"Some writing doesn’t work. But why? How? A panel of writers will offer up examples of ineffective or lazy writing - or at least doesn’t work in the way intended. While making sure the discussion is respectful of the time and effort necessary to write anything, by reacting to specific scenes and moments in famous works, panelists will show what probably went wrong and how it might have been fixed.
"," Debra Doyle, James L. Cambias, Gordon Linzner (m), Harrison Demchick, Elizabeth Birdsall"
243,Sat,10:00 AM,2hr,Lewis,Reconciliation,Workshop,Welcome,Becoming Active Bystanders ,"A bystander is a person who observes unacceptable behavior. It might be something serious or minor, one-time or repeated, but the bystander knows that the behavior is unacceptable or likely to make a bad situation worse. An *active bystander* takes steps that can make a positive difference in that situation. This class covers the basics of active bystander action and strategies, with opportunity for discussion and practice. Training provided by the Boston Area Rape Crisis Center",
244,Sun,10:00 AM,1hr 15min,Marina 3,Reconciliation,Panel,Welcome,How Arisia Inc. Works,"Curious about what's behind the Arisia curtain?  Wondered how to get your voice heard?  At this panel, members of the Arisia corporation will explain how to operate the non-profit that keeps the conventions and related activities going.  This is an optional entry-level look that will prepare you to participate the official corporate meeting on Sunday at 1pm. Attendance is open to all."," Nicholas ""phi"" Shectman, Kelly Fabijanic, Rachel Kadel"
245,Sat,10:00 AM,1hr 15min,Adams,Reconciliation,Participatory Event,Welcome,Arisia Town Hall,"Arisia Inc. wants your feedback, your ideas, and your concerns!  This is a safer space to talk about and talk to Arisia Inc. (the corporation that puts on the convention) in a semi-structured, town hall-style, public meeting.  Discuss what matters to you as a community, in open discourse and small groups.  (We will incorporate your questions and concerns into the Community Update on Monday.)"," Rachel Silber, Andy Rosequist (m)"
246,Mon,1:00 PM,1hr 15min,Marina 4,Reconciliation,Participatory Event,Welcome,State of Arisia Community Update,"The past few years have been tumultuous for Arisia, Inc.and the members of our convention. We've been working to address issues and change our processes. We will discuss the steps taken to safeguard the community and regain trust so far. We will also respond to feedback given at other panels (#TimesUp at Arisia, Arisia Town Hall, and Con Safety: The Watch, IRT & What Comes Next) over the weekend.  "," Nicholas ""phi"" Shectman, Diana Hsu"
247,Sat,1:00 PM,1hr 15min,Marina 4,Reconciliation,Panel,Welcome,"Con Safety: The Watch, IRT & What Comes Next","Have questions about how Convention Safety works at Arisia?  Meet members of the Watch, Incident Response Team, and Incident Report Management Committee as we discuss how our safety process works now, and what we can do to improve for future years.",
248,Mon,1:00 PM,1hr 15min,Alcott,Gaming,Panel,Welcome,Rhythm Gaming Through The Years,"Guitar Hero and Rock Band were two of the better-known rhythm game franchises, but Rez and others have defined the genre. With Beat Saber out now, are rhythm games making a comeback? Come talk about your favorite rhythm games over the years, what makes a good rhythm game, and some epic failures that we've seen.	"," Julia Pugliese (m), Forest Handford"
251,Sat,10:00 PM,1hr 15min,Otis,Writing,Panel,Welcome,Rewarding a Reader’s Expectations,"In a story, a writer and reader enter into a contract. For the price of reading a work of fiction, a writer agrees to reward the reader with entertainment and perhaps even a deeper message. At times this contract promises the reader that certain topics will not be discussed or handled in a casual manner. What are some other unspoken contracts between writers and readers and how can a writer use these agreements to their advantage and the reader’s entertainment?
"," Alison Wilgus, Harrison Demchick, Sarah Smith (m), John Sundman, Jeanne Cavelos"
253,Sun,10:00 PM,1hr 15min,Otis,Writing,Panel,Welcome,Story Pitch Challenge,"Have you ever wondered how different writers might handle the same idea? This panel will provide a stage for adventurous writers to improvise their approach to a variety of story prompts. While many of these prompts will be delivered by the moderator, audience members will be encouraged to submit short story prompts as well.
"," Alison Wilgus, Cadwell Turnbull, Lee C. Hillman (Gwendolyn Grace) (m), Cassandra Lease, Timothy Goyette, Kevin McLaughlin"
254,Sun,11:30 AM,1hr 15min,Douglas,Writing,Panel,Welcome,Get Rec'd! Books for Aspiring Writers,"A panel of writers will suggest books that they've found helpful in learning the craft of writing, describing what makes those books effective and what they learned from them. Books will be drawn from a variety of genres and time periods and used to highlight practical solutions to common writing problems."," Tanya Gold, W. B.J. Williams, Morgan Crooks, Rachel Kenley, James Hailer (m)"
255,Fri,7:00 PM,1hr 15min,Faneuil,Writing,Panel,Welcome,Starters’ Pack for Science Fiction,"What are the best techniques for writing science fiction? This panel will address tips and advice for writers hoping to start writing science fiction, or fiction that extrapolates upon existing science to build speculative stories.
"," Andrea Hairston, Laurence Raphael Brothers, Michael A. Burstein, W. B.J. Williams, Sarah Smith (m), Kevin McLaughlin"
256,Fri,8:30 PM,1hr 15min,Marina 2,Writing,Panel,Welcome,Starters’ Pack for Fantasy Fiction,"So, you’ve decided to write fantasy stories. That’s awesome, but how does one go about writing about the fantastical in 2020? Join a panel of fantasy writers in a discussion of the fundamentals of writing fantasy, the techniques used to create compelling stories, and a few suggestions on required reading."," E. C. Ambrose, Keith Yatsuhashi, W. B.J. Williams, Andrea Hairston (m), Debra Doyle"
261,Mon,1:00 PM,1hr 15min,Marina 1,Writing,Panel,Welcome,Writing About Disabilities: A Holistic Approach,"The inclusion of characters with disabilities many times benefits from first-hand knowledge. When looking to include disabled or chronically ill characters in a story, what advice should writers know? A panel of writers will discuss their successes and challenges in creating authentic and complex characters with disabilities."," Bekah Anderson, Sara Codair, Kyri Lorenz, Sarah Smith (m)"
262,Sun,1:00 PM,1hr 15min,Stone,Writing,Panel,Welcome,Character Writing Helpline,"When writing a character, there are times authors find themselves stuck. The plot has one idea and the character has another. Or perhaps a writer has lost touch with the voice of the character completely. What advice do you need to help with a problematic character? Join this panel of writers as they discuss their own experiences ‘rescuing’ characters in stories and offering advice for common problems in characterization.
"," Harrison Demchick, Connie Wilkins, Genevieve Iseult Eldredge, Timothy Goyette (m),  BH Pierce"
263,Mon,10:00 AM,1hr 15min,Bulfinch,Writing,Panel,Welcome,Writers Assemble! Writing with a Group,"Whether it's joining a local writing group, attending a workshop or spending a month in a retreat, writers often gather together for support, feedback, and practice. What are some compelling reasons to join a writing group and what should writers know before they join? Panelists will share what's worked for them, and how to get the most out of a workshop or retreat. 
"," Kristin Janz, Gordon Linzner (m), E. J. Barnes, Cadwell Turnbull, Timothy Goyette"
266,Fri,5:30 PM,1hr 15min,Faneuil,Writing,Panel,Welcome,Where Shall I Begin? ,"The easy answer to starting a story is beginning the moment the conflict is introduced, but how do you know when that is? Answering this question and whether or not to prologue, panelists will explore the unique challenge of starting a story in settings with thousands of different worlds, millennia of history, and dozens of characters.
"," Gordon Linzner (m), James Hailer, Kristin Janz, Alex Feinman, A. L. Kaplan"
267,Fri,10:00 PM,1hr 15min,Marina 2,Writing,Panel,Welcome,Earn Your Ending,"For the most part, endings are just as artificial as beginnings and yet every story needs a place where the conflict wraps up, and all (most of?) the ends are resolved. What tips, tricks and resources might help writers bring their creation to a satisfying conclusion? Panelists will discuss good and bad endings as examples but focus conversation but focus on the how and why of endings, not the what.
"," Alison Wilgus, Donald S. Crankshaw, Keith Yatsuhashi, E. C. Ambrose (m), Connie Wilkins"
269,Sun,2:30 PM,1hr 15min,Stone,Writing,Panel,Welcome,Writing in Brief,"Could Flash fiction (stories shorter than 1000 words) be one of the literary forms best adapted for the Tweeting, FOMO, Entertainment-on-Demand moment we are living in? What are writers doing with the ultra short story? How can 1000 or less words really be enough to tell a complete (or mostly complete) story. Panelists will bring examples of flash fiction (which in some cases could be read entire) and techniques for boiling fiction to its most basic elements."," Ian Randal Strock, Timothy Goyette, Laurence Raphael Brothers, A. L. Kaplan (m)"
272,Sat,8:30 PM,1hr 15min,Alcott,Literature,Panel,Welcome,Beyond Metaphor: Explicit Representation in SFF,"There are many SFF works that talk around an issue, rather than facing it head-on. What SFF books and stories directly present themes such as race, sexuality, gender identity, disability, class, ageism or religion that have been addressed in the past in metaphorical terms? How can authors incorporate explicit representation of diverse identities in their protagonists in ways that include all readers?"," Andrea Hairston, Monique ""Moniquill"" Poirier, Sioban Krzywicki (m), Lisa Batya Feld, Julia Gilstein"
274,Fri,8:30 PM,1hr 15min,Stone,Meetups,Meetup,Only w/ Parent,Arisia First Night Social,"Whether you are new to Arisia or a long-time attendee, come meet some new people. Say ""hi"", share and learn useful info and tips, share interests, and make new friends."," Eric ""in the Elevator"" Zuckerman (m), Matthew McComb"
278,Sat,7:00 PM,1hr 15min,Stone,Meetups,Meetup,Welcome,Gender Non-Binary Mixer & Safe Space,"Androgyne, GenderQueer, Gender Expansive, BiGender, questioning, and everyone whose identity lies outside of the male-female gender binary is invited to socialize with new and old friends in a judgment-free zone. We’ll begin with introductions, follow with a party game, and end with attendees having the space to mix and mingle. (To maintain a safe space, allies are asked to not attend.)  What's said in the space stays in the space.", Sol Eidan Houser (m)
279,Mon,10:00 AM,1hr 15min,Stone,Meetups,Meetup,Only w/ Parent,Parents with Infants & Toddlers Meetup,"We have run into each other in panels, in hallways, and in elevators with strollers, but have we really *met*? Let's let the kids run around for an hour, catch our breath, bemoan cluster feeding/colic/climbing/teething/growing pains, and celebrate the fact that we're OUT OF THE HOUSE and among our people.", James Cronen (m)
280,Sat,2:30 PM,1hr 15min,Stone,Meetups,Meetup,Welcome,Neurodiversity Meetup,"Arisia is a very welcoming place, but even the best spaces can be difficult to navigate if you are neurodiverse. This meetup is for neurodiverse folks (self-diagnosed welcome) to hang out and meet other individuals who may share similar experiences. (Neurodiversity encompasses mental illness, autism, learning disabilities, and anything else affecting brain function. To maintain a safe space, Allies are asked not to attend.)", Nightwing Whitehead (m)
281,Fri,10:00 PM,1hr 15min,Stone,Meetups,Meetup,Not Allowed,Teasecraft Kinky Maker Meetup: Show & Tell (18+),"Do you like making your own sex toys/BDSM equipment/costumes/other kinky and fun things? Come share your ideas and projects with other crafters. Or come ask questions and get inspired. Teasecraft is a meetup group for sex/kink-positive
makers and crafters. Everyone is welcome, regardless of your (a)sexuality/orientation/gender/race/ability/specific kink or what materials you work with. 18+ only."," Kit Stubbs, Ph.D. (m), Shirley Dulcey"
282,Mon,11:30 AM,1hr 15min,Stone,Meetups,Meetup,Welcome,Asexuality-Umbrella Meetup,"Asexuals are defined as people who do not experience sexual attraction, but this can take many different forms for different people: romantic asexual, aro-ace, gray-A, demisexual. Attendees identifying anywhere on the asexual or aromantic spectrums are invited to share a safe space and speak freely about their experiences in fandom and elsewhere. (To maintain a safe space, Allies are asked not to attend.)"," Julia Gilstein, Naomi Hinchen (m)"
283,Sun,4:00 PM,1hr 15min,Bulfinch,Meetups,Meetup,Welcome,Recovery Check-In,"Whether this is your first sober con or you're an old pro, come share strategies, find a sober buddy, or just check in with other folks in recovery in an informal, non-12-step setting.", Emily Walton (m)
284,Sat,10:00 PM,1hr 15min,Stone,Meetups,Meetup,Not Allowed,The Arisia Munch  (18+),"A munch is an informal gathering of people interested in BDSM and other fetish activities. Munches are held so that kinky people can socialize and talk about *any* of their hobbies or interests in a non-sexual environment. Munches are often the first step for those interested in kink to join their local fetish scene. Connect with Arisia's experienced BDSM players, the kink curious, and fetishists of all kinds. 18+ only."," Micah Schneider (m), Mildred Cady"
285,Sat,8:30 PM,1hr 15min,Stone,Meetups,Meetup,Welcome,Polyamory Meetup,Come make connections with other members of the Arisia community who identify as polyamorous or engage in other forms of ethical non-monogamy. Commiserate about the challenges that are unique to people in non-traditional relationship structures. We want this to be a welcoming environment for people of all experience levels and those who are not open to more relationships at the moment--this is not the place to seek out a new partner or date.," Kate Wechsler, Micah Schneider, Bey Woodward, Santiago Rivas"
287,Fri,5:30 PM,1hr 15min,Stone,Meetups,Meetup,Only w/ Parent,Speculative Fiction Writers Cafe,"Come meetup with other speculative fiction writers.  Share ideas, read someone else's work, or just get together to talk about writing."," Morven Westfield (m), Stephen R Wilk, Cadwell Turnbull"
288,Sat,7:00 PM,1hr 15min,Marina 2,Literature,Panel,Welcome,Fiction That Dies Unseen,"In recent years numerous books (for example, Amelie Wen Zhao’s YA fantasy, Blood Heir) have been withdrawn or postponed before publication after early publicity created a storm of outrage on Goodreads or Twitter. Although especially vigorous in the YA community, “cancel culture” has doomed adult books, too. Some authors insist  that some of the critics haven’t read the books and are misrepresenting selected details. Is this censorship, or should some books never be published?"," Michael Bailey, Meredith Schwartz, Lyndsay Ely (m)"
290,Sun,2:30 PM,1hr 15min,Marina 4,Literature,Panel,Welcome,Daemons and Dust: the Fiction of Philip Pullman,"Twenty five years ago, the first book in Pullman’s His Dark Materials trilogy was published in the U.K. Pullman’s vision of a universe where people’s souls are external beings and God is decrepit and dying raised some hackles. Now a new adaptation of His Dark Materials has been made and Pullman has released the second book in a new trilogy. How is Pullman’s work innovative and intriguing, and what makes it so disturbing?"," Reuben Baron, John Sundman (m), Bekah Anderson, Arthur Chu, Mink Rose, Kristina Carroll"
291,Fri,7:00 PM,1hr 15min,Independence,Literature,Panel,Welcome,"Not With My Intellectual Property, You Don’t","British author Francis Spufford has written an eighth Narnia novel, praised by all who have seen it, but C.S. Lewis’ estate refuses to discuss any extension of the series. The estate of John Bellairs contracted another writer to continue Bellairs’ fantasy series. How do we feel about the franchising, or the suppression, of commercial (not fanfic) extensions of successful fictional series after their authors’ demise? Shameless corporate greed, more fiction for us to love, or it depends?","Mark Painter, Kristin Janz, B. Diane Martin, James L. Cambias (m), Emperor Joey-1"
292,Sat,8:30 PM,1hr 15min,Douglas,Literature,Panel,Welcome,All Ears For a Good Read,"Audiobooks are the new ebook revolution in publishing, their sales increasing by double digit percentages each month. Is the experience of listening to narrated prose different from reading  oneself and “hearing the voice in your head?” Are audiobooks produced as mini-radio dramas with multiple actors the next wave—or do we never outgrow the absorbing pleasure of simply being read to?"," Bekah Anderson, Bhadrika Love, Emma Caywood, Mike Luoma, Dan ""Grim"" Marsh (m), Cadwell Turnbull"
293,Sat,10:00 AM,1hr 15min,Marina 2,Literature,Panel,Welcome,What Makes Reading a Pleasure?,"Fiction readers are a minority—only about one in five Americans, on average, reads for pleasure, and of those, some say they prefer non-fiction and never read novels or stories. Reading’s prime Nemesis is television (not the Internet!)—as reading goes down, television viewing goes up. What makes an avid reader so passionate about the written word? What is distinctive about the pleasure of reading—and how do we get more people (of all ages) to share in it?"," Greer Gilman, Meredith Schwartz, Danny Miller, James Hailer (m), Lena G."
294,Fri,5:30 PM,1hr 15min,Douglas,Literature,Panel,Welcome,Reading Around the Pictures,Many of us read comics and illustrated children’s chapter books when we were young—and we may still enjoy them! But how does illustration change the experience of reading the story? There are readers who say they’d rather imagine for themselves what the characters and scenes look like. Can any illustrations equal what our imaginations create from verbal description? Or does illustration change and enhance how we experience prose?,"Heather Urbanski, Sioban Krzywicki, LB Lee, Mike Luoma (m), Feklar42"
296,Sun,5:30 PM,1hr 15min,Independence,Literature,Panel,Welcome,Don’t Call My Book “Science Fiction”,"As SF and its themes become more and more mainstream, some “literary” authors are incorporating tropes like AI, alternate reality, futurism and dystopian fiction. Yet many are like Ian McEwan, who hotly denies that his new book Machines Like Me (AI, alt-universe) is in any way “science fiction.” Why is SF still denied the respectability it deserves after all these years? Why do some authors find its themes compelling as long as it’s called something else?"," Mark Painter, Kevin Turausky, John G. McDaid, Athena Andreadis PhD (m), Kristin Janz"
298,Fri,8:30 PM,1hr 15min,Marina 4,Literature,Panel,Welcome,Ravenous for The Hunger Games,"Suzanne Collins’ Hunger Games trilogy has been phenomenally successful. Her series made Collins the top selling Kindle author of all time, inspired many imitators, were adapted into four films and redefined the YA dystopian genre. This May, Collins will release a prequel to the trilogy. What makes these books so compelling to so many readers?"," Karen S., Heather Urbanski (m), Lyndsay Ely, Sarah Smith"
299,Sun,2:30 PM,1hr 15min,Marina 1,Literature,Panel,Welcome,Libraries of the Future,"SF predicted ebooks and electronic media many decades ago. Along with the vision of a paperless future came the occasional view of a futuristic library with no books, and often only AI or holographic librarians. In 2020, libraries still have books (and librarians), but they’re circulating increasing numbers of ebooks, audiobooks, DVDs and other media. What is the greatest value libraries have to offer, and what will they look like fifty or a hundred years from now?"," Cate Schneiderman (m), Meredith Schwartz, Danny Miller, Greer Gilman, Michael A. Burstein"
300,Sun,1:00 PM,1hr 15min,Marina 1,Literature,Panel,Welcome,I Read It Because I Loved the Movie,"Or maybe you read it because you hated the movie and wondered if the book was better. Highly popular movies are often adapted from books that weren’t well known beforehand. What books have you read after you enjoyed the movie, and how did the book change your view of the film adaptation? Is the movie ever better than the book? Can book and film versions always be fairly compared?"," Timothy Luz, Mark Painter, Lisa Padol, Lena G., Danny Miller, Mildred Cady (m)"
301,Sun,10:00 AM,1hr 15min,Marina 2,Literature,Panel,Welcome,Fifty Years After Ringworld,"Larry Niven’s classic SF novel Ringworld was published in 1970. How have its concepts and themes held up over time, and how have they influenced SF fiction in the decades since its publication? And why, despite its obvious influence on other SF movies (Interstellar for example), and despite several attempts, has it never been filmed?"," James L. Cambias (m), Alexander Jablokov, Mark Painter, Jeff Hecht, Sioban Krzywicki"
303,Sun,8:30 PM,1hr 15min,Marina 2,Gaming,Panel,Welcome,The Hacker's Guide to D&D,"D&D 5th edition has been out for a few years now, and there have been a lot of additional rules and options published.  What can you do if you want something new, but your group doesn't want to leave the comfort of D&D?  Panelists will bring up some mechanics from other systems you can add to your game to add interest and variety, without losing your group because of a total system change."," H. M. White, Renie Jesanis, Jonathan Woodward, James L. Cambias (m), Griffin Ess "
306,Sat,5:30 PM,1hr 15min,Marina 2,Literature,Panel,Welcome,"Feet of Clay, Mind of Light","Fascination with, and stories about, sentient life in non-organic bodies go back to ancient times. From the Jewish lore of the golem to the robots of SF to AI entities like the Marvel character Vision, what do these characters say about our uneasy relationship between our minds and our all-too-breakable bodies?"," H. M. White, Andrea Hairston, Heather Urbanski, Laurence Raphael Brothers, Jeffrey A Carver (m)"
308,Sun,4:00 PM,1hr 15min,Marina 1,Literature,Panel,Welcome,The Resurgence of Horror Fiction,"Horror has always been a somewhat disdained genre, even more so than SF. But in recent years it’s growing in popularity and sophistication, with publishers like Tom Doherty launching new horror imprints. But like other genres, horror is defined by specific conventions, themes and tropes. Is some horror fiction regressive (especially concerning women) or transgressive? Do horror tropes reinforce stereotypes or force us to face our fears and weaknesses?"," Gillian Daniels (m), Morgan Crooks, Suzanne Reynolds-Alpert, Gordon Linzner, Sam Schreiber, Sonya Taaffe"
309,Sun,1:00 PM,1hr 15min,Marina 4,Literature,Panel,Welcome,Death and Funerary Practices in Science Fiction,"Funerary rituals and attitudes towards death vary greatly across distance and time, yet the way a society views, treats, and memorializes its dead gives insight into its beliefs, philosophy, and priorities. What are examples of death rituals in SF? What are examples of alien, space-based and other genre cultures handling their dead? What does it tell us about those societies? How have these themes been handled well...and not so well?"," E. C. Ambrose, MJ Cunniff, H. M. White (m)"
310,Sun,11:30 AM,1hr 15min,Marina 2,Literature,Panel,Welcome,Shakespeare and Fantasy,"Let's talk about Shakespeare's fantastic worlds and characters - the witches of Macbeth, the spirits and spells of The Tempest, the fairies of A Midsummer Night's Dream, and more. We'll share what we love about them, examine the huge range of ways they've been interpreted and presented, and talk about what more we want of these magical ideas in productions, adaptations, or fanfic."," Anne E.G. Nydam, Dan ""Grim"" Marsh, Rebecca Maxfield, Greer Gilman, Shoshana Traum (m)"
311,Sun,7:00 PM,1hr 15min,Douglas,Literature,Panel,Welcome,Talking Cats and Political Rabbits,"There are several kinds of anthropomorphic fiction, from fantasy in which animals talk and interact with humans, to allegories, to stories in which humans don’t appear at all. They can be played for humor or for intense drama (Watership Down). We’ll talk about our favorite anthropomorphic fiction, how it’s done well…and how it sometimes falls short."," Rebecca Maxfield, Sonya Taaffe, Gabriel Valdez, Julia Gilstein (m), Elizabeth Birdsall"
316,Sat,7:00 PM,1hr 15min,Douglas,Literature,Panel,Welcome,Isaac Asimov: Celebrating 100 Years,"January 2, 2020 would have been Isaac Asimov's 100th birthday. Let's discuss the life and career of one of SFF's legends, and celebrate the centennial of a true literary polymath."," A Joseph Ross, Bhadrika Love, Ian Randal Strock, Michael A. Burstein (m)"
317,Mon,1:00 PM,1hr 15min,Independence,Literature,Panel,Welcome,Ray Bradbury at 100:  From Green Town to Mars,"Ray Douglas Bradbury, who passed away in 2012, would have turned 100 this year.  From his first published SFF work at the age of 18, Bradbury was beloved worldwide as the author of The Martian Chronicles and Something Wicked This Way Comes, and is perhaps most famous for his masterwork, Fahrenheit 451.  He remains one of the most influential figures in American and international genre fiction. We’ll look at his life and legacy."," James Hailer (m), Andrea Martinez Corbin, Timothy Luz, Sonya Taaffe, E. C. Ambrose"
318,Sat,4:00 PM,1hr 15min,Douglas,Literature,Panel,Welcome,Forget Snape; Let's Talk Dumbledore!,"Readers of Harry Potter often focus on Severus Snape as an ""evil"" character, but what about Albus Dumbledore? From his sympathies with Gellert Grindelwald's wizard supremacy to his insisting on keeping Harry in an abusive Muggle household (perhaps to groom him as a personal weapon against He-Who-Shall-Not-Be-Named?), Dumbledore is at least as problematic a character as any other in J.K. Rowling's franchise. Come discuss these issues, and we'll decide who the real problem is."," Cecilia Tan (m), James Hinsey, Karen S., Lisa Batya Feld, Cassandra Lease"
319,Sun,8:30 PM,1hr 15min,Douglas,Literature,Panel,Welcome,Prototyping the Possible:  Social Change in SFF,"How can SFF help us think about what better and more resilient systems might be put into place after a resistance reclaims a space from oppression? From Looking Backwards to State Tectonics, SFF is unafraid to think in big ways about how society can be improved. We’ll discuss noteworthy examples, opportunities and limitations of this approach, and exciting new works that take on the challenge of imagining a better tomorrow."," Meredith Schwartz, Arthur Chu, Bekah Anderson (m)"
322,Mon,11:30 AM,1hr 15min,Marina 2,Literature,Panel,Welcome,The Fantasy Fiction of John Bellairs,"John Bellairs wrote several adult fantasies and multiple series of middle-grade fantasy-adventure novels before his untimely death at 53 in 1991. Bellairs' quirky fiction about wizards and magic predated Harry Potter by decades. With ""The House With a Clock in Its Walls"" turned into a big-budget film in 2018, let's explore what makes Bellairs' work so distinctive and the influence he had on middle-grade fantasy."," Lisa Batya Feld, Sonya Taaffe (m), Inanna Arthen"
323,Sat,2:30 PM,1hr 15min,Bulfinch,Meetups,Meetup,Only w/ Parent,Tabletop GM Meetup,"Are you a game master for table top role playing games, or are you interested in starting a campaign?  Come meet with other GMs, exchange ideas, and maybe setup some game sessions for the weekend."," Alan Wexelblat (m), Lisa J Steele, Richard Moore"
325,Sun,2:30 PM,1hr 15min,Adams,Gaming,Panel,Welcome,Crowdfunding and Tabletop Gaming,"Kickstarter, Indiegogo, and other crowdfunding platforms have exploded in the last few years as a launchpad for tabletop game creators. But how does it work? Are the games any good? And what makes a successful campaign? Join a group of game funders, players, and creators to discuss the crowdfunding process and answer questions about getting started. Panelists will also share some of their favorite games that started through crowdfunding."," Walter H. Hunt, Lisa Padol, Aaron Marks, Christopher K. Davis (m)"
329,Fri,8:30 PM,1hr 15min,Adams,Workshops,Workshop,Welcome,Blockprinting,"Relief block printmaking is a magical, sci-fi art form: it’s like carving with light into darkness, and then cloning the result. It’s also easy to get started, fun to experiment with, and you can print note cards, gifts, or limited edition artwork to frame and hang proudly. Come learn how to wield the magic, by designing, carving, and printing your own original rubber block. $5 materials fee. Sign up in Program Nexus. Limit: 15.", Anne E.G. Nydam (m)
